ID;TARGET
80001;0.4606838470
80002;0.5666744404
80003;0.4263164227
80004;0.4256992187
80005;0.5344596546
80006;0.4885730111
80007;0.5335386254
80008;0.3914181307
80009;0.5552815760
80010;0.5455481148
80011;0.4833497350
80012;0.5103365205
80013;0.5509627801
80014;0.7345304125
80015;0.6898508529
80016;0.3265791481
80017;0.4132527153
80018;0.6721901208
80019;0.6395715825
80020;0.5895212412
80021;0.5299907870
80022;0.4168164651
80023;0.4269707648
80024;0.4269707648
80025;0.4275818811
80026;0.5690801396
80027;0.4717800724
80028;0.5977893386
80029;0.5299907870
80030;0.5034106327
80031;0.5034106327
80032;0.5397887294
80033;0.5299907870
80034;0.5397887294
80035;0.5299907870
80036;0.5397887294
80037;0.5565014326
80038;0.4913375408
80039;0.4744261406
80040;0.5118833611
80041;0.3065295984
80042;0.5747504502
80043;0.6580935847
80044;0.6186118259
80045;0.6293645692
80046;0.5741771100
80047;0.4903572187
80048;0.5574411829
80049;0.7047749011
80050;0.4806239869
80051;0.6535224017
80052;0.4662659936
80053;0.6389057596
80054;0.6472463727
80055;0.3923633959
80056;0.6808635600
80057;0.5299907870
80058;0.5299907870
80059;0.5335922667
80060;0.7737858856
80061;0.5481694231
80062;0.5299907870
80063;0.5284542761
80064;0.6557580188
80065;0.7919405470
80066;0.5681660666
80067;0.5746932655
80068;0.4996338771
80069;0.7499552462
80070;0.5229587010
80071;0.4832786511
80072;0.5284542761
80073;0.5018688983
80074;0.5481694231
80075;0.5284542761
80076;0.5284542761
80077;0.5284542761
80078;0.5299907870
80079;0.5284542761
80080;0.5481694231
80081;0.5284542761
80082;0.5481694231
80083;0.5481694231
80084;0.5481694231
80085;0.5299907870
80086;0.5284542761
80087;0.5284542761
80088;0.5481694231
80089;0.5284542761
80090;0.5284542761
80091;0.5481694231
80092;0.4959262013
80093;0.6691110113
80094;0.6440883615
80095;0.5937026061
80096;0.4784142234
80097;0.4398098890
80098;0.5017863136
80099;0.3616716898
80100;0.6839088964
80101;0.6705987393
80102;0.5930756169
80103;0.5189697916
80104;0.5329046228
80105;0.6120404705
80106;0.6504668811
80107;0.6220877200
80108;0.4962953500
80109;0.6599335212
80110;0.4533311294
80111;0.3909722175
80112;0.6632593096
80113;0.6100949068
80114;0.5284542761
80115;0.4275818811
80116;0.4462149649
80117;0.3608851136
80118;0.5284542761
80119;0.5284542761
80120;0.5229670686
80121;0.8281382065
80122;0.6465149413
80123;0.5543109409
